english,english-definition,spanish,spanish-definition,comments,proposals,category,tags
Cancellation of Removal and Adjustment of Status for Certain Non-Permanent Residents (EOIR 42-B),,cancelación de (la) expulsión y cambio de condición migratoria para ciertos residentes no-permanentes,,"See 'adjustment of status', above, and 'nationality and status' reference for  more.",,,
,,,,,,,
,,,,,,,
cancellation of Removal for certain Permanent Residents (EOIR 42-A),,Cancelación de (la) expulsión para ciertos residentes permanentes,,,,,
,,,,,,,
cancelled without prejudice ,,cancelado indefinitivamente,,See 'prejudice' for much more discussion.,,,
,,,,,,,
,,,,,,,
case law,,jurisprudencia,,,,,
,,,,,,,
case Number ,,número de caso,,,,,
,,,,,,,
CAT (Convention Against Torture) ,,convenio en contra de la tortura,,,,,
,,,,,,,
CBP,,Servicio de Aduanas y Protección Fronteriza,,US Customs and Border Protection,,,
,,,,,,,
,,,,,,,
central reason for persecution ,,motivo central de (la) persecución,,,,,
,,,,,,,
certificate of citizenship,,certificado / acta de ciudadanía,,,,,
,,,,,,,
certificate of naturalization,,certificado / acta de naturalización,,,,,
,,,,,,,
certificate of service ,,constancia de entrega,,"Cuando se habla de 'service', las fuentes no coinciden. Collins nos da 'entregar'. Existe 'traslado de ley', que se emplea en el derecho civil Argentino; Cabanellas-Hoague nos da 'notificar'. En España, se habla de 'actos de comunicación', 'comunicaciones' en general, y más específicamente, 'notificaciones, citaciones y emplazamientos'. Parece ser que el aviso inicial de un caso en contra de uno (el clásico 'you've been served') es la notificación; luego vienen citaciones y emplazamientos. Aquí con explicación y ley citada: https://www.palladinopellonabogados.com/notificaciones-citaciones-y-emplazamientos/ En Colombia, parece que se habla de citaciones, eso sí, con 'notificación' y 'notificación por aviso': https://www.agtabogados.com/blog/que-debo-hacer-ante-una-citacion-judicial-o-administrativa/ En general, parece que no le incumbe tanto al individuo en países hispanos hacerle llegar a la contraparte la notificación; más bien eso es el deber del tribunal. Dandole otra vuelta, en Alcaraz: ""dar traslado a: give notice, serve notice, pass on a notification (...) Los litigantes tienen la obligación de dar traslado a la parte contraria copias de las pruebas que van a aportar en el juicio;"" En resumen: Si conoces el contexto cultural, y crees que puedes acertar con el término correcto para tal cultura, adelante. Si no, se sugiere esta traducción quizás básica, genérica, pero sin entrar en regionalismos.",,,
,,,,,,,
,,,,,,,
certificate of translation,,"certificado, acta de traducción",,,,,
,,,,,,,
certified copy,,copia certificada,,,,,
,,,,,,,
CFR,,revisión del temor creíble,,Credible Fear Review.,,,
,,,,,,,
,,,,,,,
CFR,,Código de Reglamentos Federales,,Code of Federal Regulations.,,,
,,,,,,,
,,,,,,,
change of non-immigrant status,,"cambio en condición de no residente, inmigrante",,"See 'adjustment of status', above, and 'nationality and status' reference for  more.",,,
,,,,,,,
,,,,,,,
change of status,,cambio de condición migratoria,,"See 'adjustment of status', above, and 'nationality and status' reference for  more.",,,
,,,,,,,
,,,,,,,
change of venue,,cambio de fuero,,See 'venue'.,,,
,,,,,,,
,,,,,,,
changed circumstances,,circunstancias cambiadas,," When we talk about 'country conditions', we're talking about 'condiciones', but 'circumstances' can include both 'country conditions' as well as changed circumstances here in the United States -- such as coming out as gay, a newly declared religion or political opinion that is persecuted in the country of removal. As per CLE JLCs. See also 'Grounds and Standards of Proof' for more usage of 'changed circumstances'.",,,
,,,,,,,
,,,,,,,
character witness,,testigo de carácter,,,,,
,,,,,,,
charge,,imputación (NTA) acusación (antecedentes penales) incumbir (burden of proof),,,,,
,,,,,,,
chargeability,,"imputable (con la expulsión a, con expulsabilidad a)",,,,,
,,,,,,,
charging document ,,"documento acusatorio, imputación",,See 'charges' reference for more.,,,
,,,,,,,
,,,,,,,
child,,hijo o hija,,"Keep in mind that for many Immigration purposes, a child can be older than 18 years of age, so 'menor' or 'niño o niña' is often not an appropriate choice.",,,
,,,,,,,
,,,,,,,
CIJ,,Juez de Inmigración Principal,,"Frequently in the criminal world we will hear about 'presiding' judges, which would be 'juez presidente'. While that's a similar role to that of CIJ, the terminology is different in English, and our Spanish should reflect that.",,,
,,,,,,,
,,,,,,,
CIS,,Servicio de Ciudadanía e Inmigración,,https://www.usa.gov/espanol/agencias-federales/servicio-de-ciudadania-e-inmigracion-de-estados-unidos,,,
,,,,,,,
,,,,,,,
citizenship,,ciudadanía,,,,,
,,,,,,,
civil surgeons ,,cirujano civil,,"This is an old term, with results in Spanish from the 19th century on Google -- but the same can be said for English. They are equivalent, but has become a frozen bureaucratic term in English.",,,
,,,,,,,
,,,,,,,
civil unrest,,"disturbio, desasosiego, revuelta",,See 'Civil Strife' reference for more on this topic.,,,
,,,,,,,
,,,,,,,
claim (what is claimed in an application),,"alegación, reclamación, pretensión, historia",,"Keep in mind that 'claim' has two significantly different usages, which can occur in the same procedural contexts. ""We're here for a hearing on the merits of your asylum claim"" would refer to the application (and exhibits, etc) itself; ""Unfortunately, the fear that you claim..."" or ""Even if I were to believe your entire claim..."", or ""This is the type of claim that..."" would refer more to what the respondent asserts, and therefore will likely need an elliptical expression or a reworking of the sentence in order to give an equivalent meaning. See 'asylum claim'.",,,
,,,,,,,
,,,,,,,
claimed status review,,"revisión de la condición reclamada, alegada, pretendida",,"Interim Operating Policy and Procedure Memorandum 97-3, p. 4: ""The second procedure permits an alien in expedited removal who claims under oath to be a United States citizen, to have been lawfully admitted for permanent residence, to have been admitted as a refugee, or to have been granted asylum, to obtain review of that claim by an Immigration Judge where INS determines that the alien has no such claim (claimed status review). 4 Although not required by statute or regulation, claimed status review cases (except cases involving claims to United States citizenship)5 will be heard, to the maximum extent practical, within the same time frame as credible fear review cases ( within 24 hours to the extent practicable, but not more than 7 days from the filing of the charging document).” See discussion surrounding 'claim'.",,,
,,,,,,,
,,,,,,,
"clear, convincing, and unequivocal",,"prueba clara, convincente e inequívoca",,See 'Grounds and Standards of Proof' reference for more.,,,
,,,,,,,
,,,,,,,
clearly and beyond a doubt,,"Claramente y más allá que toda duda, claramente y sin dejar una duda",,See 'Grounds and Standards of Proof' reference for more.,,,
,,,,,,,
,,,,,,,
closing argument,,alegato final,,,,,
,,,,,,,
cognizable PSGs,,determinados grupos sociales que se podrán reconocer por ley,,,,,
,,,,,,,
cohabit,,"cohabitar, convivir",,,,,
,,,,,,,
commencement of presence,,"comienzo, inicio de presencia, permanencia",,"Spain does have a similar, while at the same time fundamentally different, immigration benefit, arraigo social, which has a 3-year physical presence requirement. Unfortunately, official descriptions of how to document the 'beginning' of that physical presence are somewhat lacking. http://extranjeros.mitramiss.gob.es/es/InformacionInteres/InformacionProcedimientos/Ciudadanosnocomunitarios/hoja036/index.html",,,
,,,,,,,
,,,,,,,
commercialized vice ,,negocio de la prostitución,,"Reading the law itself, this refers specifically to prostitution, as per IJ DCW. This translation is recommended, given that 'vicio' in Spanish is much more common and isn't nearly as loaded as the English, at times translatable as 'bad habit'.",,,
,,,,,,,
,,,,,,,
common law marriage,,matrimonio consuetudinario,,,,,
