english,english-definition,spanish,spanish-definition,comments,proposals,category,tags
,,"privar, extinguir, sobreseer",,"USCIS, EOIR, DHS, and other agencies use 'termination' to refer to the process of stripping someone of refugee, asylum, withholding, CPR, or LPR status. The UNHCR manual refers to this process (solely as regards refugees, of course) as 'withdrawal' (of status) or 'privación' (p. 29). That term in Spanish very clearly means that something is being taken from someone. However, there are circumstances wherein a 'termination' is not meant in as punitive or negative a sense; for example, when a former asylee adjusts to LPR, their asylum status is 'terminated'. Sometimes people talk in a general way about 'terminating' a case. Consider for these situations 'extinguir' or 'sobreseer'. See entry on withdrawal for more.",,,
terminate,,,,,,,
,,,,,,,
testimonial evidence,,prueba testimonial,,,,,
,,,,,,,
threshold eligibility has not been established (the),,no se ha demostrado que cumple con/reúne los requisitos mínimos,,,,,
,,,,,,,
time-barred,,queda fuera de plazo; inadmisible por ser tramitado fuera de plazo,,,,,
,,,,,,,
time for filing an appeal,,período/plazo para presentar/tramitar una apelación,,"Note: the more native option to refer to an appeal is 'recurso', and in talking about 'appealing', in general, recurrir is probably a better option. However, when referring to a second instance appeal as such, 'apelación' is entirely accurate and appropriate. Obviously, in the Immigration context, all appeals are second-instance appeals.",,,
,,,,,,,
,,,,,,,
toll-free number,,teléfono gratuito,,For example: https://tarifasgasluz.com/comercializadoras/endesa/telefono-gratuito,,,
,,,,,,,
,,turista,,,,,
tourist,,,,,,,
,,,,,,,
trafficking of a controlled substance,,traficar una sustancia controlada,,See 'controlled substance' for more.,,,
,,,,,,,
,,,,,,,
transcript of the hearing,,"transcripción de la audiencia, vista",,,,,
,,,,,,,
transit (in),,(en) tránsito,,,,,
,,,,,,,
transit alien,,extranjero en tránsito,,,,,
,,,,,,,
transit visa,,visado de tránsito,,For example: https://france-visas.gouv.fr/es/web/france-visas/visado-de-transito-aeroportuario,,,
,,,,,,,
,,,,,,,
Transition Period Custody Rules,,"Reglas, Normas de Custodia del Periodo de Transición",,See 303(b)(3) of Div. C of Public Law 104-208 (IIRIRA).,,,
,,,,,,,
,,,,,,,
travel documents,,documentos de viaje,,,,,
,,,,,,,
trigger a/the bar,,"crear, representar un impedimento por ley",,"For example, ""Your priors for drug trafficking trigger a bar and therefore you are ineligible""; ""The bar was not triggered when Respondent left to consular process, but rather when Respondent subsequently re-entered without inspection and without having first acquired a visa.""",,,
,,,,,,,
,,,,,,,
U.S. Citizen (USC),,"Ciudadano de los Estados Unidos, Ciudadano Americano / Estadounidense",,,,,
,,,,,,,
unaccompanied alien child,,menor no acompañado,,"As per UNHCR Manual y Directrices Sobre Procedimientos y Criterios Para Determinar la Condición de Refugiado, pp. 46",,,
,,,,,,,
,,,,,,,
unaltered passport,,"pasaporte sin alteraciones, inalterado",,"According to the Secretario de Relaciones Exteriores de México, an 'altered passport' would be a 'pasaporte alterado' (Reglamento de pasaportes y del documento de identidad y viaje, Nuevo Reglamento publicado en el Diario Oficial de la Federación el 5 de agosto de 2011). ",,,
,,,,,,,
,,,,,,,
unauthorized worker ,,trabajador no autorizado,,"USCIS talks about 'autorización de empleo' (Employment Authorization), and that's what, in general, this refers to.",,,
,,,,,,,
,,,,,,,
(to take) under advisement,,"tener en cuenta, estudiar, deliberar",,"This is an elliptical or euphemistic phrase used broadly in US English, and is essentially a synonym of 'to consider' or 'to deliberate'.",,,
,,,,,,,
,,agente encubierto,,,,,
undercover agent,,,,,,,
,,,,,,,
undocumented immigrant ,,migrante irregular,,This is as per Mexico's terminology. https://www.gob.mx/tramites/identidad See 'Nationality and Status' reference for more.,,,
,,,,,,,
,,,,,,,
unexpired passport,,"pasaporte vigente, pasaporte sin caducar",,,,,
,,,,,,,
uninterrupted residence,,residencia ininterrumpida,,,,,
,,,,,,,
United Nations High Commissioner for Refugees,,Alto Comisionado de las Naciones Unidas para los refugiados,,,,,
,,,,,,,
United Nations Convention Relating to the Status of Refugees ,,La Convención relacionada con el estatus de refugiados de las Naciones Unidas,,,,,
,,,,,,,
unpublished decision (BIA),,"fallo, decisión de la Junta de Apelaciones Migratorias no publicado/a",,,,,
,,,,,,,
unrelinquished domicile,,domicilio no renunciado,,"This phrase became common when it was used in the title of USCIS Form I-191, Application for Advance Permission to Return to Unrelinquished Domicile, currently referred to as Application for Relief Under Former Section 212(c) of the Immigration and Nationality Act (INA). See also 8 CFR 1212.3. ",,,
,,,,,,,
,,,,,,,
"unusual, outstanding and countervaillance equities",,"factores positivos inusuales, excepcionales o vigentes que compensan, compensatorios",,"This phrase is case law from Elramly v. INS, although partially referencing Varela-Blanco v. INS. In Elramly v. INS, Mr. Elramly had been convicted of a 'serious drug offense', and therefore had to show the BIA 'unusual or outstanding and countervailing equities' that would overcome the serious drug offense on his record. There are a few complicating factors: 'equities' should, linguistically, be positive factors. However, in Immigration law they are often 'negative or positive equities', in other words, negative or positive factors to be balanced. 'outstanding' can mean 'really exceptional', and it can also mean 'still in existence'.  'countervailing', meanwhile, is a term that means 'to be worth as much as'. So what we're looking at, here, is 'positive factors that are unusual, exceptional/still in existence and of equal, but opposite, weight.'",,,
,,,,,,,
,,,,,,,
upgrade a petition,,agilizar una petición,,"If an LPR has filed an I-130 to USCIS on behalf of a spouse/minor child, and that LPR has since become a naturalized citizen, the peitioner may inform USCIS of their change in status, which will make the I-130 move faster. It is unclear as to whether 'upgrade' is an official USCIS term.",,,
,,,,,,,
,,,,,,,
uphold,,"(objections) dar lugar a; (uphold an appeal) declarar firme (la resolución recurrida o apelada), declarar haber lugar",,See 'Decisions and Appeals' reference for more.,,,
,,,,,,,
,,,,,,,
USCIS,,Servicios de Ciudadanía e Inmigración de los Estados Unidos,,,,,
,,,,,,,
USDOJ,,Departamento de Justicia de los Estados Unidos,,,,,
,,,,,,,
vacated,,declarado nulo,,,,,
,,,,,,,
venue,,"fuero, (lower register: tribunal)",,"The coexistence of 'forum' and 'venue' is a lovely example of the multiple pools that the English language draws from, and of there being two terms in English equating to one in Spanish. Both are, of course, Latin in origin, but venuecame later from French, referring to 'the place to which the case comes' (Black's), and forum, far older, refers more specifically to 'the place of jurisdiction' (Black's). A more in-depth explanation, again Black's, quoting Charles Alan Wright, The Law of Federal Courts, ""The distinction must be clearly understood between jurisdiction, which is the power to adjudicate, and venue, which relates to the place where judicial authority may be exercised and is intended for the convenience of the litigants. It is possible for jurisdiction to exist though venue in a particular district is improper, and it is possible for a suit to be brought in the appropriate venue though it must be dismissed for lack of jurisdiction."" See also jurisdiction, competence.",,,
,,,,,,,
,,,,,,,
visa,,visado,,What's the difference (dialectical preference? Caribbean only?) between visa and visado?,,,
,,,,,,,
,,,,,,,
visa expiration date,,fecha de caducidad del visado,,,,,
,,,,,,,
visa stamp,,sello del visado,,,,,
,,,,,,,
visa validity,,validez del visado,,,,,
,,,,,,,
Visa Waiver Program,,programa de exención de visados,,,,,
,,,,,,,
visitor's visa,,visado de visitante,,,,,
,,,,,,,
voluntary departure,,salida voluntaria,,,,,
,,,,,,,
voluntary departure at the conclusion of removal proceedings,,"salida voluntaria tras, a la conclusión de la audiencia",,"Frequently referred to as 'post-conclusion voluntary departure', the actual term is at the conclusion of removal proceedings, as per 8 CFR§ 1240.26 (c).",,,
,,,,,,,
,,,,,,,
voluntary departure bond,,fianza de salida voluntaria,,,,,
,,,,,,,
voluntary departure with safeguards,,salida voluntaria con escolta,,as per discussion at 2019 Interpreter's Teleconference,,,
,,,,,,,
,,,,,,,
VTC,,"videoconferencia, videollamada",,,,,
,,,,,,,
waive the presence of respondent,,"Permitir que no se presente, exonerar la presencia del compareciente",,,,,
,,,,,,,
,,,,,,,
waiver,,"(give up) renunciar; (opt not to) optar por no; (to allow in a specific instance); permitir  (an allowance in a specific instance) dispensa, exención",,,,,
,,,,,,,
waiver of ineligibility / inadmissability / waiver ,,exención de la inadmisibilidad,,,,,
,,,,,,,
warning regarding knowingly filing a frivolous asylum application,,aviso/advertencia contra la tramitación de una solicitud de asilo que contiene falsedades,,See 'frivolous'; 'que contiene falsedades as per Interpreter's Teleconference 2019,,,
,,,,,,,
,,,,,,,
weighed the evidence,,"sopesó (weighed), valoró (evaluated), ponderó (considered) las pruebas",,,,,
,,,,,,,
welfare,,programas de bienestar,,"Welfare' was a specific program rolled out across the United States during the 1990s, and has become a generalized term synonymous with 'public assistance' or 'public benefits', and is the topic of much heated debate. An interesting counterpoint to this is the way 'bienestar' is used in Spain, wherein most political parties, from the center-right through the left, talk about how important it is to 'mantener el estado de bienestar'.",,,
,,,,,,,
,,,,Need the citation from ACNUR,,,
"well founded fear of persecution based on race, religion, nationality, member in a particular social group or political opinion ",,"temor fundado de persecución basado en la raza, religión, nacionalidad, o membresía en un determinado grupo social",,,,,
,,,,,,,
wet foot dry foot policy,,política de pie mojado pie seco,,Description for this,,,
,,,,,,,
,,,,,,,
willful misrepresentation of a material fact ,,"representación falsa intencional, inexacta intencional, tergiversación de un hecho importante, esencial, pertinente",,"The ACNUR manual provides this variously as representación inexacta and tergiversación, speaking to the flexibility of the term misrepresentation. See also 'material fact', 'fraud or misrepresentation'.",,,
,,,,,,,
,,,,,,,
withdrawal of application,,"retiro, retirada de la solicitud",,"A respondent, or an IJ or attorney on behalf of a respondent, may withdraw(retirar) an application; however, if an IJ or other authority, for example, withdraws refugee status, it is terminated in English. See entry on termination for more.",,,
,,,,,,,
,,,,,,,
withholding of deportation,,suspensión de la deportación,,"Two things of note: contrast withholding, which implies impermanence, with cancellation. Additionally, note that withholding of deportation is relief only available to older cases; newer cases refer to withholding of removal.",,,
,,,,,,,
,,,,,,,
withholding of removal,,suspensión de la expulsión,,,,,
,,,,,,,
"Women, Infants and Children (WIC)",,"WIC, el programa WIC",,,,,
,,,,,,,
work authorization,,"autorización de empleo, trabajo",,The technical term for this is Employment Authorization Document. Both 'Work Authorization' and 'Work Permit' are colloquial forms. See Employment Authorization Document (EAD).,,,
,,,,,,,
,,,,,,,
work permit,,"permiso de empleo, trabajo",,"The technical term for this is Employment Authorization Document. Both 'Work Authorization' and 'Work Permit' are colloquial forms. See Employment Authorization Document (EAD). Additionally, be careful with how you formulate this expression, as '¿le dieron permiso de trabajar?' does not mean the same thing as '¿le dieron un permiso de trabajo?'",,,
,,,,,,,
,,,,,,,
"writ of habeas corpus, mandamus",,"auto, orden de habeas corpus, mandamus",,"There are many types of 'writs', which are 'autos' or 'ordenes', something that expresses that the judge is issuing an order, in common law. Most of them do not correspond to any equivalent legal instrument or action in civil law. Conveniently, many of them are given Latin names in English, and not only a defensible, but a recommended, translation solution to this issue is to leave it in Latin, so for instances such as these, simply say 'auto de habeas corpus' or 'orden de mandamus'.",,,
